2023-12-20 13:53:16,850 - INFO - No candidates found for query: https://www.google.com/maps/search/Dirik+Hukuk+Ve+Arabuluculuk+B%C3%BCrosu/@40.973934,29.1028506?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:17,568 - INFO - No candidates found for query: https://www.google.com/maps/search/Y%C4%B1lmaz+Hukuk+%26+Arabuluculuk+B%C3%BCrosu/@40.9110668,29.1809077?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:17,584 - INFO - No candidates found for query: https://www.google.com/maps/search/URULU+Hukuk+Ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@41.0773022,28.972209699999997?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:17,842 - INFO - No candidates found for query: https://www.google.com/maps/search/YILDIRIM%27ER+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@41.0042951,29.0541304?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:17,851 - INFO - No candidates found for query: https://www.google.com/maps/search/patentoffice+turkey/@40.997499999999995,28.850555999999997?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:18,004 - INFO - No candidates found for query: https://www.google.com/maps/search/NHD+Hukuk+B%C3%BCrosu/@41.070656,29.015001899999998?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:18,012 - INFO - No candidates found for query: https://www.google.com/maps/search/SERDAR+HUKUK+B%C3%9CROSU/@40.9118334,29.1761001?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:18,271 - INFO - No candidates found for query: https://www.google.com/maps/search/SGU+HUKUK/@41.0767545,29.0134784?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:18,525 - INFO - No candidates found for query: https://www.google.com/maps/search/Atalay+hukuk+burosu/@40.9947735,28.879171799999998?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:18,564 - INFO - No candidates found for query: https://www.google.com/maps/search/Akda%C4%9F%26%C3%96zkan+Hukuk+B%C3%BCrosu/@41.0132793,29.032489?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
